ticker,product_name,market,shares_issued
7203,TOYOTA MOTOR CORPORATION,P,15794987460
8306,Mitsubishi UFJ Financial Group Inc.,P,12337710920
6861,Keyence Corp.,P,243207684
4716,Oracle Corporation Japan,S,128293071
2702,McDonald's Holdings Co.(Japan),S,132960000
8572,ACOM CO. LTD.,S,1566614098
141A,Trial Holdings Inc.,G,122318300
4478,Freee K.K,G,58465623
5842,Itergral Corporation,G,34975000
7392,grebesge,P,9348203
9424,3894,P,7000
0022,7834,G,78000900
